"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 11- 05","1.3823","1.3902","1.3908","1.3823","","-0.56%"
"2024- 11- 04","1.3901","1.3944","1.3945","1.3874","","-0.35%"
"2024- 11- 01","1.3950","1.3931","1.3960","1.3903","","0.12%"
"2024- 10- 31","1.3933","1.3905","1.3947","1.3891","","0.22%"
"2024- 10- 30","1.3903","1.3915","1.3942","1.3894","","-0.08%"
"2024- 10- 29","1.3914","1.3893","1.3931","1.3876","","0.18%"
"2024- 10- 28","1.3889","1.3891","1.3910","1.3881","","-0.01%"
"2024- 10- 25","1.3891","1.3855","1.3899","1.3837","","0.27%"
"2024- 10- 24","1.3854","1.3839","1.3870","1.3811","","0.13%"
"2024- 10- 23","1.3836","1.3819","1.3864","1.3815","","0.14%"
"2024- 10- 22","1.3816","1.3832","1.3840","1.3813","","-0.11%"
"2024- 10- 21","1.3831","1.3802","1.3851","1.3798","","0.22%"
"2024- 10- 18","1.3800","1.3797","1.3817","1.3784","","0.04%"
"2024- 10- 17","1.3794","1.3754","1.3803","1.3746","","0.32%"
"2024- 10- 16","1.3750","1.3775","1.3794","1.3749","","-0.17%"
"2024- 10- 15","1.3774","1.3796","1.3840","1.3769","","-0.15%"
"2024- 10- 14","1.3795","1.3760","1.3807","1.3756","","0.24%"
"2024- 10- 11","1.3762","1.3740","1.3785","1.3725","","0.17%"
"2024- 10- 10","1.3739","1.3712","1.3777","1.3698","","0.21%"
"2024- 10- 09","1.3710","1.3647","1.3720","1.3642","","0.46%"
"2024- 10- 08","1.3647","1.3620","1.3676","1.3610","","0.23%"
"2024- 10- 07","1.3616","1.3568","1.3641","1.3567","","0.33%"
"2024- 10- 04","1.3571","1.3555","1.3592","1.3544","","0.14%"
"2024- 10- 03","1.3552","1.3502","1.3561","1.3494","","0.38%"
"2024- 10- 02","1.3501","1.3491","1.3512","1.3472","","0.08%"
"2024- 10- 01","1.3490","1.3525","1.3541","1.3481","","-0.25%"
"2024- 09- 30","1.3524","1.3514","1.3539","1.3489","","0.09%"
"2024- 09- 27","1.3512","1.3465","1.3528","1.3463","","0.36%"
"2024- 09- 26","1.3464","1.3486","1.3491","1.3457","","-0.14%"
"2024- 09- 25","1.3483","1.3432","1.3488","1.3419","","0.39%"
"2024- 09- 24","1.3430","1.3539","1.3542","1.3430","","-0.81%"
"2024- 09- 23","1.3540","1.3562","1.3584","1.3486","","-0.21%"
"2024- 09- 20","1.3569","1.3559","1.3591","1.3541","","0.08%"
"2024- 09- 19","1.3558","1.3604","1.3649","1.3532","","-0.34%"
"2024- 09- 18","1.3604","1.3596","1.3624","1.3541","","0.05%"
"2024- 09- 17","1.3597","1.3584","1.3618","1.3579","","0.09%"
"2024- 09- 16","1.3585","1.3592","1.3609","1.3566","","0.00%"
"2024- 09- 13","1.3585","1.3582","1.3601","1.3564","","0.04%"
"2024- 09- 12","1.3580","1.3575","1.3606","1.3564","","0.07%"
"2024- 09- 11","1.3571","1.3609","1.3624","1.3566","","-0.29%"
"2024- 09- 10","1.3610","1.3558","1.3617","1.3554","","0.40%"
"2024- 09- 09","1.3556","1.3571","1.3580","1.3545","","-0.11%"
"2024- 09- 06","1.3571","1.3505","1.3584","1.3466","","0.50%"
"2024- 09- 05","1.3503","1.3507","1.3527","1.3501","","-0.02%"
"2024- 09- 04","1.3506","1.3554","1.3567","1.3500","","-0.32%"
"2024- 09- 03","1.3550","1.3493","1.3564","1.3491","","0.44%"
"2024- 09- 02","1.3491","1.3489","1.3506","1.3480","","-0.01%"
"2024- 08- 30","1.3493","1.3484","1.3510","1.3465","","0.07%"
"2024- 08- 29","1.3483","1.3479","1.3492","1.3449","","0.02%"
"2024- 08- 28","1.3480","1.3447","1.3489","1.3440","","0.30%"
"2024- 08- 27","1.3440","1.3487","1.3489","1.3442","","-0.35%"
"2024- 08- 26","1.3487","1.3506","1.3518","1.3462","","-0.15%"
"2024- 08- 23","1.3507","1.3617","1.3619","1.3498","","-0.79%"
"2024- 08- 22","1.3615","1.3595","1.3620","1.3571","","0.15%"
"2024- 08- 21","1.3595","1.3621","1.3626","1.3575","","-0.17%"
"2024- 08- 20","1.3618","1.3634","1.3643","1.3604","","-0.12%"
"2024- 08- 19","1.3634","1.3695","1.3695","1.3628","","-0.31%"
"2024- 08- 16","1.3676","1.3730","1.3739","1.3677","","-0.38%"
"2024- 08- 15","1.3728","1.3718","1.3740","1.3694","","0.10%"
"2024- 08- 14","1.3714","1.3705","1.3726","1.3688","","0.07%"
"2024- 08- 13","1.3704","1.3744","1.3748","1.3705","","-0.27%"
"2024- 08- 12","1.3741","1.3730","1.3748","1.3718","","0.09%"
"2024- 08- 09","1.3729","1.3732","1.3752","1.3718","","0.01%"
"2024- 08- 08","1.3728","1.3760","1.3767","1.3726","","-0.22%"
"2024- 08- 07","1.3758","1.3785","1.3792","1.3721","","-0.20%"
"2024- 08- 06","1.3785","1.3825","1.3857","1.3756","","-0.27%"
"2024- 08- 05","1.3823","1.3872","1.3947","1.3809","","-0.35%"
"2024- 08- 02","1.3872","1.3876","1.3889","1.3833","","-0.01%"
"2024- 08- 01","1.3873","1.3807","1.3891","1.3796","","0.47%"
