Date,n_cand,n_hi,n_cand_rel,n_hi_rel,score_mean_rel,topic_policy_rel,topic_macro_rel,topic_trade_geo_rel,topic_market_rel,topic_corp_rel,topic_commod_fx_rel
2020-12-11,11,2,0.7346938775510203,0.7003891050583658,1.1573876064984452,0.7894736842105263,0.9917355371900827,1.7142857142857142,0.6451612903225806,0.8450704225352113,0.9375
2020-12-14,17,4,1.1065573770491803,1.1811023622047243,0.9319691807086767,0.7894736842105263,0.5,0.8450704225352113,1.3186813186813187,0.8450704225352113,0.9375
2020-12-15,10,5,0.671414038657172,1.3953488372093024,1.1339551683000706,0.7894736842105263,0.5,0.8450704225352113,0.6521739130434783,0.8450704225352113,0.9375
2020-12-16,13,5,0.8615384615384616,1.3740458015267174,1.2354886619796457,0.7894736842105263,0.5,0.8450704225352113,2.608695652173913,0.8450704225352113,0.9375
2020-12-17,18,5,1.1632653061224487,1.3636363636363635,1.2116590678511587,1.6,1.5,1.6901408450704225,0.631578947368421,1.6901408450704225,0.9375
2020-12-18,15,5,0.9726443768996961,1.3432835820895521,0.9040246682414909,0.7894736842105263,0.49180327868852464,0.8333333333333334,1.9148936170212767,1.6666666666666667,0.9375
2020-12-21,21,4,1.342828077314344,1.1111111111111112,1.0345041442055658,1.5789473684210527,2.5210084033613445,0.8333333333333334,1.25,0.821917808219178,0.9375
2020-12-22,16,4,1.0251256281407033,1.098901098901099,1.0161499932457971,0.7792207792207793,0.9756097560975611,0.8333333333333334,1.2371134020618557,1.6666666666666667,0.9375
2020-12-23,9,4,0.6030150753768844,1.0909090909090908,1.3135238691960007,1.5584415584415585,1.4516129032258067,0.8333333333333334,0.6122448979591837,0.821917808219178,0.9375
2020-12-24,12,1,0.7862903225806452,0.43321299638989164,0.7261430235881695,0.7692307692307692,0.47619047619047616,1.6666666666666667,0.6122448979591837,0.821917808219178,0.9375
2020-12-28,19,5,1.2133468149646107,1.2949640287769786,0.8455748197022505,0.7692307692307692,1.4285714285714286,0.821917808219178,0.6122448979591837,0.821917808219178,0.9375
2020-12-29,10,1,0.6673407482305359,0.4347826086956522,0.8089966386073895,0.7692307692307692,0.48780487804878053,0.821917808219178,0.6185567010309279,0.8333333333333334,0.9375
2020-12-30,9,1,0.6122448979591836,0.4411764705882353,1.0519341843104162,0.7692307692307692,0.9917355371900827,0.821917808219178,0.625,0.8333333333333334,0.9375
2020-12-31,11,5,0.7399794450154161,1.3333333333333333,1.3190641871382192,0.7692307692307692,1.4876033057851241,1.643835616438356,0.625,0.8333333333333334,0.9375
2021-01-04,28,8,1.7901234567901236,1.9852941176470589,1.0565936306867734,1.5584415584415585,1.4634146341463417,1.6216216216216215,1.875,1.6901408450704225,0.9375
2021-01-05,14,0,0.9137055837563454,0.21818181818181814,0.7947778820372225,0.7792207792207793,0.49586776859504134,0.8,0.6185567010309279,0.8333333333333334,0.9375
2021-01-06,12,6,0.7959183673469387,1.5441176470588236,1.1826482376238734,1.5584415584415585,1.5126050420168067,0.8,0.625,0.8333333333333334,0.9375
2021-01-07,18,5,1.1704312114989732,1.3090909090909089,1.0292504686852224,0.7692307692307692,1.5,0.8,1.2765957446808511,0.8333333333333334,0.9375
2021-01-08,19,8,1.235839340885685,1.9354838709677418,1.271312872418289,1.5384615384615383,2.479338842975207,0.8,1.263157894736842,0.8333333333333334,0.9375
2021-01-11,23,3,1.4663951120162932,0.8421052631578947,0.9028903987013266,0.759493670886076,0.4800000000000001,2.4324324324324325,0.631578947368421,0.8333333333333334,0.9375
2021-01-12,18,3,1.148036253776435,0.8421052631578947,0.8951191042171597,0.759493670886076,0.9677419354838711,0.7894736842105263,0.6382978723404256,0.8450704225352113,1.875
2021-01-13,12,2,0.7839195979899496,0.631578947368421,0.8678546834014643,0.759493670886076,0.9756097560975611,0.7894736842105263,0.6382978723404256,0.8450704225352113,0.9230769230769231
2021-01-14,21,8,1.337386018237082,1.894736842105263,1.3271584353848556,1.518987341772152,1.9672131147540985,0.7894736842105263,2.5531914893617023,0.8450704225352113,0.9230769230769231
2021-01-15,19,3,1.2170385395537524,0.8362369337979094,0.9675963939576361,0.75,1.4516129032258067,0.8,1.2371134020618557,0.8571428571428571,0.9375
2021-01-19,36,6,2.2311557788944723,1.453287197231834,0.9352089982960511,2.25,1.4400000000000002,1.6,1.2244897959183674,0.8571428571428571,0.9375
2021-01-20,9,0,0.5876591576885407,0.2054794520547945,0.7428000621448158,0.7407407407407407,0.47619047619047616,0.7894736842105263,0.6122448979591837,0.8571428571428571,0.9375
2021-01-21,12,7,0.7669616519174042,1.6724738675958188,1.3743841805329617,0.7407407407407407,0.9677419354838711,1.5789473684210527,1.2244897959183674,1.7142857142857142,0.9375
2021-01-22,17,3,1.0619469026548674,0.821917808219178,0.9441751569064563,0.7407407407407407,0.4800000000000001,0.7894736842105263,1.2121212121212122,0.8450704225352113,0.9375
2021-01-25,26,4,1.594488188976378,1.0380622837370244,0.9143389513441976,0.7407407407407407,0.9600000000000002,0.7894736842105263,1.836734693877551,0.8571428571428571,0.9375
2021-01-26,17,5,1.0475266731328807,1.2413793103448274,1.0651727534507551,0.7407407407407407,0.9600000000000002,1.5789473684210527,1.2000000000000002,1.7142857142857142,0.9375
2021-01-27,19,7,1.1571841851494695,1.643835616438356,1.1601571019343146,2.962962962962963,0.47619047619047616,0.7792207792207793,0.6000000000000001,1.7142857142857142,0.9375
2021-01-28,13,0,0.8084696823869105,0.2033898305084746,0.7672035775303374,0.7142857142857143,0.4800000000000001,0.7792207792207793,0.6000000000000001,0.8450704225352113,0.9375
2021-01-29,16,3,0.9855072463768116,0.8191126279863482,0.8957407600275952,0.7142857142857143,0.9600000000000002,0.7792207792207793,1.2244897959183674,0.8450704225352113,0.9375
2021-02-01,23,10,1.3967022308438408,2.22972972972973,1.1706216281195172,0.7142857142857143,0.9523809523809523,0.7792207792207793,2.4242424242424243,1.6901408450704225,0.9375
